"key","ID","dataset","TL_mm","width_mm","height_mm","weight_g","gonads_g","pred.eggs","pred.age","age","class"
89,"24651","batch",263.028937184019,47.94032883428551,90.51780469749296,956,NA,2754,13.494091547460933,NA,6
90,"24652","batch",258.02191459177993,46.30884542836788,85.57712331158417,956,NA,2532,13.017735240984987,NA,6
91,"24653","batch",262.74184133973904,43.3897537642657,99.8773207664419,956,NA,2741,13.466580182898717,NA,6
92,"24654","batch",253.8877844864037,50.24958110143999,82.3053731020436,956,NA,2359,12.629840638409831,NA,6
93,"24655","batch",282.47212466807105,56.96741571195817,99.7303134462267,956,NA,3764,15.416179966814113,NA,6
94,"25631","batch",293.93719142186455,56.91508142226663,111.15861589356943,980,NA,4481,16.6077747528702,NA,6
95,"25632","batch",289.1668191947974,61.38303383154088,104.44573372688018,980,NA,4171,16.106428939618766,NA,6
96,"25633","batch",290.06813246849924,55.150107031393624,98.91796360080731,980,NA,4228,16.20053699344314,NA,6
97,"26751","batch",311.9265868868679,49.45777069075053,106.84335542891446,1278,NA,5813,18.57447230370834,NA,7
98,"26752","batch",310.84201796911657,53.12744734969366,111.79398068332553,1278,NA,5725,18.45231842609282,NA,7
99,"26753","batch",320.46088582649827,51.40652776033551,116.987265109701,1278,NA,6542,19.552769940100063,NA,7
100,"26754","batch",315.51839896664023,54.69324769366439,111.32993538755309,1278,NA,6112,18.982468634882135,NA,7
101,"26755","batch",316.7133742738515,54.083034848683496,121.4823364095658,1278,NA,6214,19.119399929556174,NA,7
102,"27751","batch",309.4767345264554,56.46723252222741,108.27913611950785,1272,NA,5615,18.29922583167973,NA,7
103,"27752","batch",307.4862435013056,50.55178016248273,103.2111206106321,1272,NA,5459,18.077366587892808,NA,7
104,"27753","batch",324.8244174681604,60.667459257026444,119.01572208009195,1272,NA,6941,20.065093703505354,NA,7
105,"27754","batch",316.203838346526,53.777758479006174,96.87469021842647,1272,NA,6170,19.060938981719808,NA,7
106,"27755","batch",306.1169952452183,67.10912935732918,110.08575865121385,1272,NA,5353,17.925662914546514,NA,7
107,"28621","batch",257.33924505580217,48.45183807244328,90.63579697786486,1005,NA,2502,12.953348293842073,NA,6
108,"28622","batch",274.4277836813126,53.524086873679686,93.252358145149,1005,NA,3317,14.606511784452312,NA,6
109,"29641","batch",296.27964902180247,55.54537121791719,96.27208428773623,980,NA,4640,16.856942480543537,NA,6
110,"29642","batch",280.3392873900011,59.707841198670486,94.55238501744172,980,NA,3641,15.199450129353842,NA,6
111,"29643","batch",298.8323640511371,50.28595769262498,115.26007309308052,980,NA,4817,17.130764018944458,NA,6
112,"29644","batch",286.85783308232203,48.73694084659384,94.97002160778032,980,NA,4027,15.86663181154043,NA,6
113,"30721","batch",309.5614458899945,65.62087980722721,93.74088880412832,1235,NA,5622,18.308702864955777,NA,7
114,"30722","batch",311.3553685732186,52.792249847742035,115.32099289697682,1235,NA,5766,18.510076876554546,NA,7
115,"31751","batch",304.5570774562657,53.9006498469159,103.37629794026111,1294,NA,5235,17.75372977149782,NA,7
116,"31752","batch",301.31386181153357,52.145774170106016,102.03957326986983,1294,NA,4995,17.3992734163729,NA,7
117,"31753","batch",318.17358558624983,56.17882341901044,103.90918301446112,1294,NA,6340,19.287545654978675,NA,7
118,"31754","batch",303.4764216579497,53.25313235600741,106.14300183064137,1294,NA,5154,17.635174535053693,NA,7
119,"31755","batch",311.7108243666589,59.8122997950047,114.6590113961031,1294,NA,5795,18.55013299795786,NA,7
120,"32751","batch",316.3624250832945,56.652433564753686,107.44113549574985,1206,NA,6184,19.079122470383155,NA,7
121,"32752","batch",324.804126881063,56.47143338049403,110.63394158422523,1206,NA,6939,20.062691774034562,NA,7
122,"32753","batch",312.89424586854875,65.84999842691909,118.10425533226464,1206,NA,5892,18.68386453123767,NA,7
123,"32754","batch",312.6243885848671,55.610324519425646,108.29420634590184,1206,NA,5870,18.653318972121767,NA,7
