otolith.vial,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,health,colour,notes,ID,PIT.HEX,PIT.DEC,Sex,Eggs,Gonad.Mass.g,Bodywally.Thickness..mm.,Searcher,MergeNotes,Otoliths,Picture_O1,Otolith.Analysis_O1,Age.First.Read_O1,Certainty_O1,Notes.Read_O1,First.Read.Date,Picture_O2,Otolith.Analysis_O2,Age.First.Read_O2,Certainty_O2,NotesO2,AgeDiff,ReadToUse,use.age,oto
79,,13,291,326,54,111,590,,gold,,84, 9984604E,98894,M,,NA,10,JG,,2,Y,lapilli - R,22,3,"core is so small, it's hard to read, so this could be older",28/8/2025,Y,lapilli - L,28,2,beautiful but edge is a little faded,-6,O2,28,l
80,,007 - 011,323,359,54,119,630,,gold,,102,99846172,99186,F,Y,3.1,11,JG,,1,Y,lapilli - R,17,1,rostrum has notches,28/8/2025,,,NA,NA,,,,17,l
81,,18-19,368,404,73,164,1610,,gold,,43,998461 E4,99300,F,Y,74.1,15,JG,,2,Y,lapilli - R,31,1,"LOTS of bands, very small core",29/8/2025,Y,lapilli - L,18,2,,13,O1,31,l
82,,18-19,357,399,81,158,1590,,gold,,54,99846093,98963,F,Y,200.5,10,JG,,2,Y,lapilli - R,27,2,could be more,29/8/2025,Y,lapilli - L,12,3,rostrum very faded,15,O1,27,l
83,Fishway PM,28-Apr-25,224,244,42,84,286,,Frozen,,83,,,F,Y,22.2,5,JM,,1,Y,asteriscii - L,9,2,can't tell if there are more rings behind the rostrum,29/8/2025,,,NA,NA,,,,9,a
84,Fishway AM,28-Apr-25,161,177,25,55,83.5,,Frozen,,84,,,unk,N,NA,2,JM,,1,Y,lapilli - R,16,2,"clear bands, but stacked faded bands in the rostrum",29/8/2025,,,NA,NA,,,,16,l
85,Fishway AM,28-Apr-25,213,234,42,79,227,,Frozen,,85,,,F,Y,17,2,JM,,1,Y,lapilli - L,16,3,dark core,29/8/2025,,,NA,NA,,,,16,l
86,Fishway AM,28-Apr-25,136,148,22,46,51,,Frozen,,86,,,unk,N,NA,2,JM,,2,Y,lapilli - L,11,1,,29/8/2025,N,,NA,NA,looks like a broken piece of an asteriscus otolith,,,11,l
87,Fishway,24-Apr-25,266,285,51,97,513,,Frozen,,87,,,F,Y,15.5,5,JM,,2,Y,asteriscii - R,14,1,,29/8/2025,Y,asteriscii - L,11,2,,3,,14,a
88,Fishway,24-Apr-25,250,267,41,92,329,,Frozen,,88,,,M,N,NA,4,JM,,2,,,NA,NA,found broken,,N,,NA,NA,found broken,,,,
89,Fishway PM,29-Apr-25,204,223,39,71,185,,Frozen,,89,,,F,Y,13.4,3,JM,,2,Y,lapilli - R,17,4,"very odd otolith, the core is very clear but the entire rostrum is blurry",29/8/2025,Y,lapilli - L,19,2,could be more because the very outer rostrum is very faded,-2,O2,19,l
90,Fishway ,23-Apr-25,188,207,32,73,160.5,,Frozen,,90,,,M,N,NA,4,JM,,2,Y,lapilli - R,18,2,rings from rostrum in very clear,29/8/2025,Y,lapilli - L,23,4,broken at the core,-5,O1,18,l
91,Fishway ,23-Apr-25,206,226,38,80,220,,Frozen,,91,,,F,Y,25.5,3,JM,,2,Y,lapilli - L,19,3,,29/8/2025,Y,asteriscii - L,17,1,,2,O2,17,a
92,Fishway AM,29-Apr-25,151,166,23,51,69,,Frozen,,92,,,M?,N,NA,2,JM,,2,Y,lapilli - L,16,3,,29/8/2025,Y,lapilli - R,14,2,,2,O2,14,l
93,Fishway AM,29-Apr-25,187,204,30,67,124,,Frozen,,93,,,F,Y,9.2,3,JM,,2,Y,lapilli - R,15,4,"same dark core, faded edge problem",29/8/2025,Y,lapilli - L,15,2,,0,O2,15,l
94,Fishway AM,29-Apr-25,153,170,26,55,77,,Frozen,,94,,,M,N,NA,2,JM,,2,Y,lapilli - R,16,3,hard to count by band colour but this one has clearer points for each band starting from the rostrum,29/8/2025,Y,lapilli - L,12,2,,4,O2,12,l
95,Fishway AM,29-Apr-25,254,284,52,90,433,,Frozen,,95,,,F,Y,50.1,4,JM,,2,Y,lapilli - R,18,1,very visible core,29/8/2025,Y,lapilli - L,16,3,"core not easy to identify and very small, could be older",2,O1,18,l
