"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","class"
284,"79822","batch",326.638863787055,NA,60.661006667049165,1790,NA,7113,NA,8
285,"80581","batch",233.23467021994293,NA,40.68719578748001,656.25,NA,1626,NA,5
286,"80582","batch",219.27104530343786,NA,37.701175646156116,656.25,NA,1240,NA,5
287,"80583","batch",227.21745129232295,NA,39.400457063111176,656.25,NA,1450,NA,5
288,"80584","batch",230.48904462344944,NA,40.100063622251675,656.25,NA,1544,NA,5
289,"80585","batch",228.73117336258292,NA,39.7241555738625,656.25,NA,1493,NA,5
290,"80586","batch",209.84415718074888,NA,35.685303838321744,656.25,NA,1023,NA,5
291,"80587","batch",222.08982650609687,NA,38.30395160837608,656.25,NA,1312,NA,5
292,"80588","batch",233.48965312493965,NA,40.74172203654256,656.25,NA,1634,NA,5
293,"81651","batch",297.7625815279316,NA,54.48602266770258,1046,NA,4742,NA,6
294,"81652","batch",269.60158666968346,NA,48.46399770289179,1046,NA,3069,NA,6
295,"81653","batch",289.570169753395,NA,52.734134693694465,1046,NA,4197,NA,6
296,"81654","batch",269.56659402581863,NA,48.4565147792238,1046,NA,3067,NA,6
297,"81655","batch",270.8399343211204,NA,48.72880938691096,1046,NA,3131,NA,6
298,"82651","batch",294.57438764185645,NA,53.804250476370406,860,NA,4524,NA,6
299,"82652","batch",282.49078366789035,NA,51.2202592089313,860,NA,3765,NA,6
300,"82653","batch",295.41446222295053,NA,53.98389434637984,860,NA,4581,NA,6
301,"82654","batch",271.27412212081254,NA,48.82165730589691,860,NA,3153,NA,6
302,"82655","batch",294.33273411612026,NA,53.75257461860533,860,NA,4508,NA,6
303,"83641","batch",258.70242653694004,NA,46.13329117972976,1085,NA,2561,NA,6
304,"83642","batch",257.13401873828843,NA,45.79789852169241,1085,NA,2494,NA,6
305,"83643","batch",266.7837998494506,NA,47.86143438215786,1085,NA,2931,NA,6
306,"83644","batch",285.82103357161395,NA,51.93240905165635,1085,NA,3964,NA,6
307,"84751","batch",310.4004884008318,NA,57.188547598893635,1208,NA,5689,NA,7
308,"84752","batch",303.7840897291899,NA,55.77367862219984,1208,NA,5177,NA,7
309,"84753","batch",323.27101340703666,NA,59.94081623456245,1208,NA,6797,NA,7
310,"84754","batch",312.3794489670545,NA,57.61173399533156,1208,NA,5850,NA,7
311,"84755","batch",313.7666881904006,NA,57.90838506455712,1208,NA,5964,NA,7
312,"85751","batch",305.97416203841567,NA,56.24200973717946,1216,NA,5342,NA,7
313,"85752","batch",313.5407801922411,NA,57.8600762739226,1216,NA,5946,NA,7
314,"85753","batch",323.1906283684075,NA,59.92362647575389,1216,NA,6790,NA,7
315,"85754","batch",313.5519918985665,NA,57.86247381618733,1216,NA,5947,NA,7
316,"85755","batch",310.9304606821388,NA,57.30187833613333,1216,NA,5732,NA,7
317,"86751","batch",310.703961038962,NA,57.25344302649326,1213,NA,5714,NA,7
318,"86752","batch",321.08741751499474,NA,59.47387005453133,1213,NA,6598,NA,7
319,"86753","batch",315.7989691607654,NA,58.34297364357042,1213,NA,6135,NA,7
320,"86754","batch",301.92306640185416,NA,55.37571225085098,1213,NA,5039,NA,7
321,"86755","batch",309.0543097741902,NA,56.90067704114037,1213,NA,5582,NA,7
322,"87751","batch",304.3041257392615,NA,55.88488455973918,1280,NA,5216,NA,7
323,"87752","batch",309.470642156899,NA,56.98970670841426,1280,NA,5615,NA,7
324,"87753","batch",304.926665334031,NA,56.01801014710411,1280,NA,5263,NA,7
325,"87754","batch",302.925625320524,NA,55.59010222064124,1280,NA,5113,NA,7
326,"87755","batch",302.8554999884218,NA,55.57510642582963,1280,NA,5108,NA,7
327,"88861","batch",342.35700753703713,NA,64.02221796442466,1608.3333333333333,NA,8738,NA,8
328,"88862","batch",340.25557289272547,NA,63.572841372664925,1608.3333333333333,NA,8506,NA,8
329,"88863","batch",335.19447738677263,NA,62.49056272308046,1608.3333333333333,NA,7965,NA,8
330,"88864","batch",326.88536368496716,NA,60.71371888643354,1608.3333333333333,NA,7136,NA,8
331,"88865","batch",339.47242172807455,NA,63.405370163338404,1608.3333333333333,NA,8420,NA,8
332,"88866","batch",349.41960340179503,NA,65.53250298198272,1608.3333333333333,NA,9555,NA,8
333,"89521","batch",205.74406416062266,NA,34.808528616085056,760,NA,938,NA,5
334,"89522","batch",228.39548929594457,NA,39.65237196537279,760,NA,1483,NA,5
335,"90681","batch",296.67960794456303,NA,54.25443660378317,1025,NA,4667,NA,6
336,"90682","batch",283.85744942352176,NA,51.512510790964946,1025,NA,3846,NA,6
337,"90683","batch",263.2895180878695,NA,47.11420751363829,1025,NA,2766,NA,6
338,"90684","batch",258.3385775235947,NA,46.05548470120098,1025,NA,2545,NA,6
339,"90685","batch",265.1560738419648,NA,47.51335695441457,1025,NA,2853,NA,6
340,"90686","batch",290.0386542205233,NA,52.83431670682552,1025,NA,4226,NA,6
341,"90687","batch",262.6305064568296,NA,46.973282645245,1025,NA,2736,NA,6
342,"90688","batch",268.41330188373104,NA,48.20989160037906,1025,NA,3010,NA,6
343,"917141","batch",316.1210123691708,NA,58.411840253238395,1289.2857142857142,NA,6163,NA,7
344,"917142","batch",319.09284627996385,NA,59.04734542953459,1289.2857142857142,NA,6421,NA,7
345,"917143","batch",301.6742546185851,NA,55.32250565151287,1289.2857142857142,NA,5021,NA,7
346,"917144","batch",306.83318021148443,NA,56.425704557248324,1289.2857142857142,NA,5408,NA,7
347,"917145","batch",318.1589483246207,NA,58.84763810989014,1289.2857142857142,NA,6339,NA,7
348,"917146","batch",321.5045415908098,NA,59.56306901964696,1289.2857142857142,NA,6636,NA,7
349,"917147","batch",302.0122529808432,NA,55.394784155373586,1289.2857142857142,NA,5046,NA,7
350,"917148","batch",306.77785271033645,NA,56.413873171502516,1289.2857142857142,NA,5404,NA,7
351,"917149","batch",306.3984050154686,NA,56.33273102780922,1289.2857142857142,NA,5375,NA,7
352,"9171410","batch",312.1436804253608,NA,57.561316598817584,1289.2857142857142,NA,5830,NA,7
353,"9171411","batch",308.88943038508296,NA,56.86541877692122,1289.2857142857142,NA,5569,NA,7
354,"9171412","batch",302.33738965913653,NA,55.46431228119137,1289.2857142857142,NA,5070,NA,7
355,"9171413","batch",305.074200861156,NA,56.04955955194636,1289.2857142857142,NA,5274,NA,7
